Year of introduction,Currency,Symbol,Founder(s),Hash algorithm,Programming language of implementation,Consensus mechanism,Notes
2019,Algorand,ALGO,Silvio Micali,,Go[74],PoS,Uses averifiable random functionto randomly select groups of users to certify blocks.[75]
2020,Avalanche,AVAX,"Emin Gün Sirer,Kevin Sekniqi, Maofan ""Ted"" Yin",,,PoS,
2020,Shiba Inu,SHIB,Ryoshi,,,PoS,
2020,Polkadot,DOT,Gavin Wood,,Rust,PoS,
2020,Solana,SOL,Anatoly Yakovenko,,Rust,PoS,
2021,DeSo,DESO,Nader al-Naji (akadiamondhands)[76],,Go[77],PoW[78],"Also asocial media platform, resemblingTwitter.[79][80]Known asBitCloutuntil September 2021.[76]"
2021,SafeMoon,SAFEMOON,SafeMoon LLC,,Solidity[81],PoW,
2023,Arkham Intel Exchange,ARKM[82][83],Miguel Morel,,Solidity,PoS,
Release,Currency,Symbol,Founder(s),Hash algorithm,Programming language of implementation,"Cryptocurrency blockchain(PoS,PoW, or other)",Notes
2014,Coinye,"KOI, COYE",,Scrypt,,PoW,"Used American hip hop artistKanye Westas its mascot, abandoned after he filed a trademark lawsuit."
2017,BitConnect,BCC,,,,,"BitConnect was described as an open source, all-in-one bitcoin and crypto community platform but was later discovered to be aPonzi scheme."
2018,KodakCoin,,Kodakand WENN Digital,Ethash[84],,,"KodakCoin is a ""photographer-centric"" blockchain cryptocurrency used for payments for licensing photographs."
